ID,ProductFamilyID,Brand,Series,Generation,VersionName,BabySize,Tier,LaunchTime,LaunchMonth,Form,Size,Price,Weight,Image,Design_ProductDimension,Design_Core,Design_Topsheet,Image_TS,Design_Backsheet,Design_FasteningSystem,Design_Aesthetic,Design_Package,Design_Accessories,Performance_GBAbsorbency,Marketing_CoreSellingPoint,Marketing_Absorbency,Marketing_LeakProtection,Marketing_SkinComfort,Marketing_FitAntiChafe,Marketing_AppearanceDesign,Rating_ConsumerFeedback,Rating_MarketPerformance,Rating_CostRating
Pampers-Taped-BlackGold-Sz2-G2-202508,Pampers-Taped-BlackGold-Sz2,Pampers,黑金帮,G2,新2代黑金帮,NB S M L XL,SP,Aug-25,2025-08,Taped,S,2.2,24.3,Pampers-Taped-BlackGold-Sz2-G2-202508,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7099 ","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Taped-BlackGold-Sz2-G2-202508_TS,"背层材质            热风无纺布
背层克重            22 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               丝绸之路

印花款式               3种","包装材质               PE 复合膜
包装印花               丝绸之路
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X3","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g",新2代黑金帮 添加真蚕丝 每一触都是顶配亲肤,叶脉瞬吸导流 更宽更能吸 ,升级防漏保险芯 加宽+10% 稀便也能吸,全新Silk-Pro奢柔纤维 透气+40% 透气干爽排湿,根据上万宝宝体型3D建模 柔弹腰围，宽大奢柔腰贴 ,(文案未重点突出),一触爱上,AAAAA,$$$$
Huggies-Taped-X-Sz2-G1-202602,Huggies-Taped-X-Sz2,Huggies,X 一净到底,G1,首款隔菌裤,NB S M L XL,P,Feb-26,2026-02,Taped,S,1.4,22.4,Huggies-Taped-X-Sz2-G1-202602,"产品尺寸            395X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            14.2g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            3D压花
面层精华            无",Huggies-Taped-X-Sz2-G1-202602_TS,"背层材质            0.8D热风
背层克重            17 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            55 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               一净到底

印花款式               3种","包装材质               PE 复合膜
包装印花               一净到底
包装厚度               100 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 2","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","•
99%物理隔菌，晒足一下午阳光般洁净;
•
有效阻隔有害菌，大肠杆菌白色念珠菌，金色葡萄球菌;
• 
首款隔菌裤","• 
新一代[X超导芯]，越吸越快;
• 
8mm加速导流槽;
• 
3次吸收更比第一次快","• 
防漏[便便兜]，稀便稳稳兜，新生专属设计","• 嘘嘘后还轻薄，吸后透气+200%;
• 0.8D超细纤维，如第二层肌肤般轻柔",(文案未重点突出),"• 
童趣潮流印花;
• 
AW 印花文字magic in life",隔离细菌,AA,$$$
Babycare-Taped-AirPro-Sz2-G2-202603,Babycare-Taped-AirPro-Sz2,Babycare,AirPro,G2,第2代AirPro,NB S M L XL,P,Mar-26,2026-03,Taped,S,1.4,21.8,Babycare-Taped-AirPro-Sz2-G2-202603,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7101","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Babycare-Taped-AirPro-Sz2-G2-202603_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               风感透气

印花款式               3种","包装材质               PE 复合膜
包装印花               风感透气
包装厚度               100 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X5","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
第2代airpro 全新夏日升级 
• 
新升级 风感透气窗，大孔出气 大口呼吸 
• 
S型波浪小窗孔排布，排出热浪","• 
吸速快吸量大 
• 
吸收+15%，一片搞定 7次嘘嘘 
• 
新升级 吸速+63%，吸得快不怕漏 
• 
近0回渗，时刻保持PP干爽",(文案未重点突出),"• 
新升级 透气+16%，内散热 外送风 
• 
10亿+风窗孔 
• 
薄至0.1cm，夏日清爽不闷热 
• 
柔感进阶 PP 软着陆 超舒服 
• 
贴近宝宝肌肤pH值 弱酸亲肤","• 
轻盈贴身，无束缚 
• 
360°贴身，夏日撒野 不掉裆","• 
有尿湿一眼便知，3条尿显","[数据生成中…]

ER&R Topline Report link",AAAA,$$$
Pampers-Pants-BlackGold-Sz5-G2-202508,Pampers-Pants-BlackGold-Sz5,Pampers,黑金帮,G2,新2代黑金帮,L XL 2XL 3XL,SP,Aug-25,2025-08,Pants,XL,4.4,36.5,Pampers-Pants-BlackGold-Sz5-G2-202508,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7102","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Pants-BlackGold-Sz5-G2-202508_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               丝绸之路

印花款式               3种","包装材质               PE 复合膜
包装印花               丝绸之路
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X6","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g", 第2代airpro 全新夏日升级,吸速快吸量大  吸收+15% 一片搞定 7次嘘嘘  新升级 吸速+63% ,吸得快不怕漏 ,"新升级 透气+16% 内散热 外送风  
10亿+风窗孔   薄至0.1cm 夏日清爽不闷热 ",轻盈贴身，无束缚 360°贴身，夏日撒野 不掉裆,(文案未重点突出),"[数据生成中…]

ER&R Topline Report link",AAAAA,$$$$
Pampers-Pants-Ichiban-Sz5-G7-202602,Pampers-Pants-Ichiban-Sz5,Pampers,一级帮,G7,第7代一级帮,L XL 2XL 3XL,P,Feb-26,2026-02,Pants,XL,2.7,32.2,Pampers-Pants-Ichiban-Sz5-G7-202602,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7103","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Pants-Ichiban-Sz5-G7-202602_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               Air-Max 气感速干

印花款式               3种","包装材质               PE 复合膜
包装印花               Air-Max 气感速干
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X7","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
添加类胎脂精华 
• 
新升级 类胎脂纸尿裤 
• 
肌肤保护双屏障，帮助隔离尿便刺激","• 
Air-Max 气感速干吸收芯 
• 
长达10小时干爽舒适 
• 
每一处尿液稀便都能吸","• 
全新扩容防漏兜 
• 
后漏侧漏拦截高达98% 
• 
扩容1.2倍，侧边加高14%","• 
升级 奢薄纸尿裤 
• 
奢柔小气垫表层","• 
根据上万宝宝体型3D建模 
• 
柔弹腰围，宽大奢柔腰贴 
• 
奢柔包裹不勒肚 
• 
满臀包裹",(文案未重点突出),"[数据生成中…]

ER&R Topline Report link",AAAAA,$$$
Pampers-Taped-Ichiban-Sz2-G7-202603,Pampers-Taped-Ichiban-Sz2,Pampers,一级帮,G7,第7代一级帮,NB S M L XL,P,Mar-26,2026-03,Taped,S,1.5,22.6,Pampers-Taped-Ichiban-Sz2-G7-202603,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7104","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Taped-Ichiban-Sz2-G7-202603_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               Air-Max 气感速干

印花款式               3种","包装材质               PE 复合膜
包装印花              Air-Max 气感速干
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X8","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
添加类胎脂精华 
• 
新升级 类胎脂纸尿裤 
• 
肌肤保护双屏障，帮助隔离尿便刺激","• 
Air-Max 气感速干吸收芯 
• 
长达10小时干爽舒适 
• 
每一处尿液稀便都能吸","• 
全新扩容防漏兜 
• 
后漏侧漏拦截高达98% 
• 
扩容1.2倍，侧边加高14%","• 
升级 奢薄纸尿裤 
• 
奢柔小气垫表层","• 
根据上万宝宝体型3D建模 
• 
柔弹腰围，宽大奢柔腰贴 
• 
奢柔包裹不勒肚 
• 
满臀包裹",(文案未重点突出),"[数据生成中…]

ER&R Topline Report link",AAAAA,$$$
Pampers-Taped-Masstige-Sz2-G4-202406,Pampers-Taped-Masstige-Sz2,Pampers,清新帮,(数据确认中),(数据确认中),NB S M L XL,V,Jun-24,2024-06,Taped,S,1.0,21.5,Pampers-Taped-Masstige-Sz2-G4-202406,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7105","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Taped-Masstige-Sz2-G4-202406_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               草颜团子

印花款式               2种","包装材质               PE 复合膜
包装印花               草颜团子
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X9","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g", [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中],"[数据生成中…]

ER&R Topline Report link",AAAA,$$
Pampers-Pants-Masstige-Sz5-G4-202406,Pampers-Pants-Masstige-Sz5,Pampers,清新帮,(数据确认中),(数据确认中),L XL 2XL 3XL,V,Jun-24,2024-06,Pants,XL,2.0,30.5,Pampers-Pants-Masstige-Sz5-G4-202406,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7106","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Pampers-Pants-Masstige-Sz5-G4-202406_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               草颜团子

印花款式               2种","包装材质               PE 复合膜
包装印花               草颜团子
包装厚度               0.3 mm
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X10","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g", [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中], [数据抓取中],"[数据生成中…]

ER&R Topline Report link",AAAA,$$
Huggies-Pants-X-Sz5-G1-202602,Huggies-Pants-X-Sz5,Huggies,X 一净到底,G1,首款隔菌裤,L XL 2XL 3XL,P,Feb-26,2026-02,Pants,XL,2.5,23.8,Huggies-Pants-X-Sz5-G1-202602,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7107","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Huggies-Pants-X-Sz5-G1-202602_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm",(数据获取中),(数据获取中),"
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X11","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","•
99%物理隔菌，晒足一下午阳光般洁净;
•
有效阻隔有害菌，大肠杆菌白色念珠菌，金色葡萄球菌;
• 
首款隔菌裤","• 
新一代[X超导芯]，越吸越快;
• 
8mm加速导流槽;
• 
3次吸收更比第一次快","• 
防漏[便便兜]，稀便稳稳兜，新生专属设计","• 嘘嘘后还轻薄，吸后透气+200%;
• 0.8D超细纤维，如第二层肌肤般轻柔",(文案未重点突出),"• 
童趣潮流印花;
• 
AW 印花文字magic in life","[数据生成中…]

ER&R Topline Report link",AAA,$$$
Babycare-Pants-AirPro-Sz5-G2-202603,Babycare-Pants-AirPro-Sz5,Babycare,AirPro,G2,第2代AirPro,L XL 2XL 3XL,P,Mar-26,2026-03,Pants,XL,2.5,33.3,Babycare-Pants-AirPro-Sz5-G2-202603,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7108","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Babycare-Pants-AirPro-Sz5-G2-202603_TS,"背层材质            热风无纺布
背层克重            15 gsm
背层花型            波浪线打孔","腰贴材质            奢柔SPB
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               风感透气窗

印花款式               2种","包装材质               PE 复合膜
包装印花               风感透气窗
包装厚度               120 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               Avery Blue
尿显                   Strips 3 mm X12","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
第2代airpro 全新夏日升级 
• 
新升级 风感透气窗，大孔出气 大口呼吸 
• 
S型波浪小窗孔排布，排出热浪","• 
吸速快吸量大 
• 
吸收+15%，一片搞定 7次嘘嘘 
• 
新升级 吸速+63%，吸得快不怕漏 
• 
近0回渗，时刻保持PP干爽",(文案未重点突出),"• 
新升级 透气+16%，内散热 外送风 
• 
10亿+风窗孔 
• 
薄至0.1cm，夏日清爽不闷热 
• 
柔感进阶 PP 软着陆 超舒服 
• 
贴近宝宝肌肤pH值 弱酸亲肤","• 
轻盈贴身，无束缚 
• 
360°贴身，夏日撒野 不掉裆","• 
有尿湿一眼便知，3条尿显","[数据生成中…]

ER&R Topline Report link",AAA,$$$
